id	datum	kutyaid	razas	vakarozas	ugatas	kaloria	alvas
97	2022.07.04	10	0	0	7	2006	86
98	2022.06.16	1	0	1	6	1323	97
99	2022.08.15	13	0	0	5	1483	95
100	2022.05.24	12	0	0	4	1453	88
101	2022.07.27	8	0	0	9	1769	86
102	2022.08.15	6	0	1	6	2102	90
103	2022.08.01	9	0	0	4	1241	87
104	2022.06.27	13	0	1	8	1530	93
105	2022.06.09	12	0	0	4	1734	91
106	2022.07.04	9	0	0	0	1234	95
107	2022.07.28	10	0	1	1	1863	87
108	2022.05.30	10	1	0	6	1847	85
109	2022.05.28	12	0	0	11	1777	85
110	2022.06.12	1	0	1	7	1298	92
111	2022.06.12	5	0	0	2	1255	86
112	2022.07.19	8	0	0	7	1310	87
113	2022.08.22	2	0	0	0	1434	88
114	2022.06.15	10	0	0	9	1635	88
115	2022.06.23	2	0	0	2	1785	92
116	2022.07.19	11	0	0	3	1550	86
117	2022.06.08	3	0	0	0	1483	90
118	2022.05.20	6	1	0	8	1665	89
119	2022.05.02	5	1	0	2	1435	86
120	2022.05.16	9	0	1	3	1438	93
121	2022.06.17	1	0	0	5	1292	96
122	2022.07.07	6	1	1	9	1540	91
123	2022.05.19	10	0	0	2	1738	90
124	2022.06.03	2	0	1	3	1764	88
125	2022.05.27	10	0	0	1	1883	88
126	2022.06.04	9	0	0	3	1356	98
127	2022.06.26	2	0	0	3	1599	81
128	2022.06.19	12	0	0	8	1556	90
129	2022.08.22	3	0	0	2	1180	95
130	2022.08.25	7	0	0	4	1208	79
131	2022.06.21	5	1	0	1	1451	88
132	2022.06.17	13	0	0	10	1253	94
133	2022.07.18	2	0	0	3	1444	92
134	2022.07.05	11	0	0	3	1391	90
135	2022.08.03	5	1	0	3	1713	87
136	2022.05.12	1	0	0	11	1234	90
137	2022.08.14	7	0	1	2	1356	90
138	2022.05.20	5	0	1	1	1625	80
139	2022.08.20	4	0	0	4	1565	89
140	2022.07.25	11	0	0	3	1392	91
141	2022.07.28	1	0	0	10	1177	97
142	2022.07.23	5	0	0	2	1423	85
143	2022.05.22	8	0	1	10	1571	90
144	2022.08.04	7	0	0	4	1265	86
145	2022.07.14	2	0	1	4	1764	82
146	2022.08.21	1	0	0	9	1344	86
147	2022.05.20	12	0	0	8	1749	87
148	2022.07.30	9	0	0	3	1620	90
149	2022.07.10	13	0	0	8	1429	93
150	2022.05.31	13	0	0	10	1305	92
151	2022.08.18	14	0	1	6	1193	90
152	2022.07.06	5	0	0	3	1056	89
153	2022.08.10	2	0	0	0	1277	92
154	2022.07.10	14	0	0	6	1031	82
155	2022.07.12	7	0	0	2	1341	80
156	2022.08.08	6	0	0	12	1449	90
157	2022.08.03	14	0	0	5	1202	91
158	2022.07.05	1	0	0	5	1427	96
159	2022.05.06	5	0	0	2	1632	86
160	2022.04.26	1	0	0	6	1617	93
161	2022.08.10	14	0	0	7	1265	81
162	2022.08.08	12	0	0	6	1501	89
163	2022.07.06	7	0	1	4	1387	88
164	2022.06.19	6	1	0	9	1126	89
165	2022.07.13	6	0	0	6	1101	94
166	2022.06.20	12	0	0	6	1724	84
167	2022.08.20	12	0	0	11	1574	92
168	2022.08.31	9	0	0	6	1445	81
169	2022.05.31	6	0	0	8	1785	92
170	2022.05.26	10	0	1	3	1201	85
171	2022.08.02	1	0	0	4	1307	94
172	2022.05.18	1	0	1	10	1172	97
173	2022.06.24	10	0	0	5	1997	89
174	2022.06.11	7	0	1	3	1157	89
175	2022.08.30	4	0	0	3	1752	90
176	2022.05.29	3	0	0	1	773	94
177	2022.06.25	11	0	1	3	1464	82
178	2022.06.12	8	0	1	9	1486	88
179	2022.06.03	3	0	0	4	1061	93
180	2022.08.15	11	0	0	5	1406	84
181	2022.06.18	1	0	0	11	1177	91
182	2022.06.24	1	0	1	10	1434	97
183	2022.07.15	10	0	1	6	2007	81
184	2022.05.31	7	0	0	4	1079	85
185	2022.07.01	8	0	0	5	1822	90
186	2022.06.14	10	0	0	10	1715	87
187	2022.08.19	9	0	0	5	1332	96
188	2022.08.19	11	0	1	4	1487	89
189	2022.06.13	2	0	0	2	1668	90
190	2022.06.04	1	0	1	10	1274	94
191	2022.07.08	11	0	0	4	1127	81
192	2022.07.03	9	0	1	4	1048	98
193	2022.07.10	12	0	0	3	1769	91
194	2022.08.03	10	0	1	9	1794	83
195	2022.07.22	8	0	0	6	1455	86
196	2022.07.20	5	0	0	2	1647	82
197	2022.07.14	11	0	0	5	1401	84
198	2022.06.22	10	1	0	4	1776	88
199	2022.05.07	10	1	0	7	1629	89
200	2022.06.02	13	0	0	3	1730	93
201	2022.07.22	5	0	1	1	951	89
202	2022.08.25	8	0	0	11	1542	88
203	2022.05.22	1	0	0	7	1332	96
204	2022.06.01	8	0	0	8	1743	89
205	2022.05.26	12	0	0	10	1725	89
206	2022.07.19	13	0	0	10	1590	90
207	2022.07.03	6	1	0	9	1360	92
208	2022.08.03	7	0	0	4	1100	89
209	2022.08.08	4	0	0	3	1607	90
210	2022.06.22	3	0	1	5	1047	95
211	2022.05.25	12	0	0	10	1564	90
212	2022.07.09	13	0	0	9	1524	94
213	2022.05.22	3	0	0	2	857	95
214	2022.08.17	5	0	0	1	984	90
215	2022.05.20	10	0	0	5	2000	86
216	2022.07.23	3	0	0	3	1015	93
217	2022.07.06	6	0	1	10	2103	92
218	2022.06.18	8	0	0	5	1754	82
219	2022.08.28	4	0	1	3	1437	83
220	2022.08.06	4	0	0	2	1656	80
221	2022.06.27	2	0	0	4	1788	93
222	2022.06.24	2	0	0	0	1470	88
223	2022.07.07	3	0	0	6	1049	96
224	2022.06.07	12	0	0	6	1334	89
225	2022.07.09	12	0	0	11	1331	88
226	2022.08.18	10	0	0	3	2019	89
227	2022.08.12	9	0	0	0	1449	94
228	2022.06.06	13	0	0	8	1646	91
229	2022.06.20	13	0	0	3	1724	89
230	2022.07.16	10	0	0	5	1262	85
231	2022.05.24	6	0	0	12	1753	92
232	2022.05.19	3	0	0	5	1028	92
233	2022.08.06	9	0	1	1	1268	98
234	2022.06.12	3	0	0	3	807	82
235	2022.07.07	14	0	0	7	1426	82
236	2022.06.29	1	0	0	9	1710	81
237	2022.06.28	6	0	0	6	1274	80
238	2022.08.18	13	0	0	9	1608	91
239	2022.05.30	12	0	0	11	1795	89
240	2022.08.13	4	0	0	5	1588	91
241	2022.05.23	9	0	0	5	1384	95
242	2022.07.14	12	0	0	3	1688	92
243	2022.08.01	10	0	0	1	1727	89
244	2022.07.28	13	0	0	5	1619	89
245	2022.07.20	14	1	0	4	928	87
246	2022.08.23	6	0	0	5	1588	89
247	2022.06.02	7	0	1	4	1091	87
248	2022.05.14	5	0	0	3	1618	89
249	2022.07.22	13	0	0	6	1299	95
250	2022.05.31	2	0	0	0	1632	90
251	2022.07.03	2	0	0	0	1465	88
252	2022.05.15	10	1	0	10	2033	81
253	2022.06.17	7	1	1	2	1281	90
254	2022.06.25	7	0	0	3	1344	86
255	2022.07.12	9	0	0	2	1430	95
256	2022.08.24	4	0	0	4	1400	86
257	2022.08.29	1	0	0	11	1257	95
258	2022.08.16	7	0	0	4	850	89
259	2022.07.24	9	0	0	4	1077	90
260	2022.08.22	13	0	1	10	1505	90
261	2022.08.09	9	0	0	3	1384	93
262	2022.06.11	8	0	0	5	1234	88
263	2022.06.10	6	0	1	9	1635	93
264	2022.08.20	6	0	0	6	1798	92
265	2022.08.07	3	0	0	2	1004	92
266	2022.06.01	1	0	1	5	1215	96
267	2022.06.05	2	1	0	3	1424	93
268	2022.04.24	1	1	0	10	990	88
269	2022.07.16	7	0	1	3	1441	87
270	2022.06.27	14	0	0	7	974	90
271	2022.08.13	5	1	0	2	1529	86
272	2022.08.03	6	0	0	12	1338	89
273	2022.07.25	5	0	0	1	1345	87
274	2022.06.28	3	0	0	3	1099	87
275	2022.08.06	11	0	0	4	1659	87
276	2022.07.02	1	0	0	8	1165	96
277	2022.07.12	3	1	0	1	1155	96
278	2022.07.21	12	0	0	4	1771	90
279	2022.06.09	8	0	1	11	1638	90
280	2022.08.11	8	0	0	5	1531	87
281	2022.07.17	14	0	0	7	1200	80
282	2022.08.11	14	0	0	6	951	89
283	2022.06.05	3	0	0	3	1127	92
284	2022.05.26	2	0	0	3	1584	93
285	2022.06.20	9	0	0	2	1261	96
286	2022.05.26	5	0	0	1	1225	91
287	2022.08.09	14	1	0	5	865	91
288	2022.08.22	12	0	0	10	1704	88
289	2022.06.18	12	0	0	3	1704	92
290	2022.07.09	14	0	0	7	1108	92
291	2022.08.30	1	0	0	4	1417	89
292	2022.05.29	12	0	0	9	1385	89
293	2022.07.09	9	1	0	2	1487	95
294	2022.07.09	3	0	0	0	1025	89
295	2022.07.01	14	0	0	5	1213	87
296	2022.05.29	13	0	0	3	1796	88
297	2022.05.26	7	0	1	2	1162	90
298	2022.07.25	1	0	0	6	1229	93
299	2022.08.05	6	0	0	6	1797	91
300	2022.05.28	10	0	0	2	2059	88
301	2022.08.24	3	0	0	3	1192	81
302	2022.08.03	8	1	0	4	1647	87
303	2022.07.07	12	1	1	5	1682	88
304	2022.06.21	14	0	0	6	818	90
305	2022.08.23	1	0	0	8	1379	88
306	2022.05.24	7	0	0	4	1326	85
307	2022.06.15	7	0	0	4	1538	87
308	2022.06.14	14	0	1	6	882	87
309	2022.07.06	1	1	0	6	1548	94
310	2022.05.17	12	0	0	5	1054	88
311	2022.08.10	11	0	0	5	1367	89
312	2022.08.30	3	0	0	0	1057	89
313	2022.07.21	3	0	0	6	781	94
314	2022.05.15	12	0	0	8	1169	90
315	2022.07.23	7	1	0	2	1208	88
316	2022.06.28	8	0	0	10	1649	80
317	2022.08.28	3	0	0	5	1029	88
318	2022.08.02	7	0	0	2	1744	89
319	2022.08.23	4	0	0	6	1226	91
320	2022.08.03	3	0	0	0	957	85
321	2022.08.17	3	1	0	5	1045	88
322	2022.07.28	6	0	0	11	2010	82
323	2022.08.18	2	0	1	2	1744	91
324	2022.07.13	10	0	0	6	1625	88
325	2022.08.27	8	0	0	8	1754	88
326	2022.07.12	5	0	1	3	1680	88
327	2022.07.20	8	0	0	6	1547	89
328	2022.08.09	2	0	0	0	1680	92
329	2022.08.07	11	0	0	3	1584	88
330	2022.06.13	3	0	0	6	1008	88
331	2022.08.26	1	0	0	6	1305	88
332	2022.08.29	9	1	0	6	1287	81
333	2022.06.17	9	0	0	1	1316	96
334	2022.05.21	8	0	1	10	1619	81
335	2022.08.01	1	0	0	3	1594	97
336	2022.06.20	6	0	0	5	1646	88
337	2022.07.21	10	0	0	2	1443	85
338	2022.08.22	8	0	0	9	1340	84
339	2022.07.13	2	1	1	1	1376	80
340	2022.08.05	1	0	0	9	1398	94
341	2022.07.14	13	0	0	8	1707	81
342	2022.06.26	8	0	0	11	1880	89
343	2022.08.24	9	0	0	1	952	97
344	2022.05.31	5	0	0	3	1549	84
345	2022.07.05	10	0	0	10	2208	85
346	2022.06.08	14	0	0	4	1192	87
347	2022.06.25	10	1	0	6	1387	88
348	2022.07.28	3	0	0	2	1043	91
349	2022.08.29	14	0	1	6	1213	90
350	2022.08.08	2	0	0	3	1686	89
351	2022.07.07	13	0	0	10	1701	89
352	2022.07.21	13	0	0	11	1436	90
353	2022.06.28	10	0	0	10	1434	85
354	2022.08.17	9	0	0	1	1294	96
355	2022.08.18	6	1	0	5	1496	85
356	2022.04.23	1	0	0	6	1220	93
357	2022.06.08	13	0	0	7	1517	93
358	2022.06.18	10	0	0	3	1701	86
359	2022.07.14	7	0	1	2	1128	87
360	2022.05.12	2	0	0	1	1388	87
361	2022.08.08	5	0	1	3	1457	89
362	2022.07.12	12	0	0	11	1578	92
363	2022.07.02	9	0	0	6	1136	97
364	2022.08.22	4	0	0	4	1721	89
365	2022.08.02	13	0	1	2	1550	93
366	2022.07.21	8	0	0	8	1811	87
367	2022.07.08	9	0	0	0	969	98
368	2022.07.04	1	0	1	10	1381	83
369	2022.08.14	5	0	0	3	990	89
370	2022.08.22	11	0	0	4	1346	90
371	2022.08.02	14	0	0	7	1278	89
372	2022.06.15	12	0	1	3	1571	86
373	2022.07.28	14	0	1	7	1281	89
374	2022.07.27	9	0	0	6	1352	94
375	2022.06.06	2	0	0	1	1720	89
376	2022.08.06	5	0	0	2	2007	88
377	2022.08.04	9	0	1	3	1320	98
378	2022.05.28	5	0	0	2	1125	90
379	2022.06.27	5	1	1	1	1604	91
380	2022.08.25	1	0	1	5	1368	97
381	2022.08.14	8	0	0	6	1280	80
382	2022.05.22	2	0	0	4	1287	89
383	2022.06.25	12	0	0	10	1481	90
384	2022.07.02	11	0	0	4	1447	86
385	2022.07.31	6	0	0	9	1078	92
386	2022.05.12	6	0	1	6	1515	91
387	2022.07.24	8	0	0	5	1584	85
388	2022.07.06	13	0	0	11	1606	95
389	2022.06.25	9	0	0	2	1332	98
390	2022.08.31	10	0	0	3	1236	81
391	2022.06.08	2	1	0	2	1642	90
392	2022.07.02	3	1	0	4	1181	94
393	2022.08.28	14	0	1	4	1360	87
394	2022.08.11	4	0	0	2	1774	90
395	2022.06.11	6	0	0	6	1292	89
396	2022.08.07	2	0	0	0	1379	90
397	2022.06.13	12	0	1	11	1155	89
398	2022.07.07	11	0	1	5	1271	87
399	2022.07.15	5	0	1	2	1502	86
400	2022.06.13	1	0	1	3	1377	93
401	2022.06.30	2	0	0	3	1332	90
402	2022.07.30	2	0	1	3	1798	85
403	2022.05.06	1	0	0	9	1681	96
404	2022.06.20	7	0	0	3	1180	83
405	2022.08.04	14	0	0	4	1339	81
406	2022.06.04	3	0	0	0	967	89
407	2022.07.15	12	0	0	6	1892	92
408	2022.08.01	5	1	0	3	1297	88
409	2022.08.04	8	0	0	5	1452	87
410	2022.08.29	7	0	0	3	1263	87
411	2022.07.26	11	0	0	3	1131	86
412	2022.08.18	5	0	1	1	1391	87
413	2022.08.04	13	0	1	5	1651	92
414	2022.06.18	3	0	0	0	780	91
415	2022.07.03	11	0	0	3	1497	86
416	2022.08.05	13	0	0	8	1385	94
417	2022.06.07	10	0	0	2	2067	87
418	2022.07.06	12	0	0	4	1464	90
419	2022.07.09	1	1	0	11	1216	96
420	2022.06.01	13	0	0	5	1763	91
421	2022.06.26	11	0	1	3	1551	90
422	2022.07.16	3	0	0	1	930	92
423	2022.05.24	10	0	0	10	1914	86
424	2022.06.03	12	0	0	3	1729	91
425	2022.06.27	12	0	0	9	1595	89
426	2022.06.06	8	1	0	10	1627	86
427	2022.07.07	7	0	0	4	1036	79
428	2022.06.14	6	1	1	11	1456	90
429	2022.08.14	14	0	0	4	1441	88
430	2022.06.07	2	0	0	3	1751	93
431	2022.06.14	1	1	0	6	1437	96
432	2022.08.16	8	0	0	8	1549	89
433	2022.08.02	11	0	0	3	1530	89
434	2022.05.10	6	0	0	10	1784	90
435	2022.07.28	5	0	1	2	1334	89
436	2022.08.18	8	0	0	7	1637	82
437	2022.08.11	13	0	0	11	1740	95
438	2022.05.31	12	0	0	7	1117	90
439	2022.06.25	6	0	0	6	1566	92
440	2022.07.24	2	0	0	2	1573	90
441	2022.05.23	5	0	0	2	1379	86
442	2022.08.29	12	0	0	6	1174	89
443	2022.07.07	9	0	1	5	980	96
444	2022.08.08	14	0	0	4	1072	90
445	2022.06.23	10	0	0	8	1625	87
446	2022.06.07	9	0	0	5	1278	84
447	2022.08.19	5	0	1	1	1897	88
448	2022.06.21	9	0	0	4	972	97
449	2022.08.07	5	0	0	3	1354	90
450	2022.06.30	5	0	0	2	1529	89
451	2022.07.02	12	0	0	4	1283	91
452	2022.08.28	2	0	0	4	1741	83
453	2022.08.10	6	0	0	6	1622	90
454	2022.07.20	3	0	1	4	1211	91
455	2022.08.12	5	1	1	2	1318	87
456	2022.07.04	14	0	0	4	1366	90
457	2022.06.05	7	0	0	3	1371	82
458	2022.06.26	3	0	0	2	1002	95
459	2022.05.24	1	0	1	5	1313	93
460	2022.08.25	13	0	0	6	1243	89
461	2022.07.17	7	0	0	3	1249	87
462	2022.06.09	14	0	0	7	1131	91
463	2022.08.29	10	0	0	5	1957	88
464	2022.05.23	6	0	1	11	1353	92
465	2022.07.08	3	1	0	1	1151	96
466	2022.07.23	10	0	0	1	1356	85
467	2022.06.27	8	0	0	11	1613	86
468	2022.07.23	6	0	0	5	1567	92
469	2022.07.13	14	1	0	7	760	83
470	2022.05.17	9	0	1	3	1279	98
471	2022.08.03	1	0	0	4	994	94
472	2022.08.17	4	1	1	3	1618	91
473	2022.05.23	7	0	0	3	1372	86
474	2022.07.23	9	0	0	0	1493	96
475	2022.07.06	14	0	0	6	756	87
476	2022.08.12	1	0	0	7	1214	85
477	2022.08.08	8	0	0	5	1282	89
478	2022.05.08	5	0	0	3	1568	89
479	2022.05.17	10	0	0	4	2000	89
480	2022.05.16	2	0	0	0	1557	93
481	2022.08.24	12	0	1	10	1738	91
482	2022.05.29	1	0	0	9	1685	94
483	2022.05.29	10	0	1	8	1247	88
484	2022.08.07	9	0	0	3	991	97
485	2022.06.02	8	0	0	11	1889	78
486	2022.05.12	5	0	0	2	1537	84
487	2022.08.30	7	0	0	4	1331	87
488	2022.08.16	4	0	0	6	1601	89
489	2022.08.27	5	0	0	1	1138	91
490	2022.06.22	7	0	0	4	1065	85
491	2022.08.25	3	0	0	2	1128	86
492	2022.06.09	9	0	0	0	1382	97
493	2022.08.21	8	0	0	8	1248	85
494	2022.08.04	6	0	0	11	1072	93
495	2022.07.02	7	1	0	2	1230	90
496	2022.08.23	14	0	0	4	1252	87
497	2022.06.05	12	0	1	4	1500	88
498	2022.07.31	11	0	0	5	1517	91
499	2022.07.29	12	1	0	7	1663	91
500	2022.06.13	6	0	0	7	1213	88
501	2022.07.08	2	0	0	4	1628	88
502	2022.08.20	11	0	1	5	1540	80
503	2022.08.07	10	0	0	8	1784	89
504	2022.06.29	12	0	1	4	1657	90
505	2022.07.18	11	0	0	4	1590	78
506	2022.06.06	5	0	0	2	1426	86
507	2022.06.19	5	0	0	2	1965	89
508	2022.07.20	2	0	0	3	1554	92
509	2022.07.31	3	0	0	2	844	93
510	2022.06.30	8	0	1	9	1171	86
511	2022.06.19	13	0	1	7	1905	87
512	2022.07.09	10	0	1	6	1581	88
513	2022.05.08	6	0	0	12	1493	91
514	2022.04.25	1	0	0	8	1189	97
515	2022.06.01	10	0	0	10	1243	89
516	2022.07.12	6	0	0	6	1718	91
517	2022.06.03	8	0	0	6	1531	87
518	2022.07.24	11	0	0	4	1478	89
519	2022.08.25	6	0	0	8	1421	94
520	2022.06.14	3	0	0	1	933	81
521	2022.06.12	12	0	0	9	1138	88
522	2022.08.20	9	0	0	2	1253	96
523	2022.07.30	8	0	0	4	1572	90
524	2022.07.06	9	0	0	1	1310	95
525	2022.07.17	12	0	1	10	1290	88
526	2022.07.10	5	0	0	2	1146	90
527	2022.06.05	6	0	0	8	1607	89
528	2022.06.04	6	0	0	12	1582	94
529	2022.07.20	9	0	0	4	1063	96
530	2022.05.13	1	0	1	6	1433	89
531	2022.06.22	13	1	0	9	1696	91
532	2022.08.09	4	1	0	2	1541	88
533	2022.07.08	6	0	0	9	1585	94
534	2022.06.25	14	0	0	5	1097	92
535	2022.05.21	10	1	0	8	1991	86
536	2022.07.06	8	0	0	5	1583	86
537	2022.08.24	2	0	1	1	1556	92
538	2022.08.23	10	0	0	8	1717	86
539	2022.06.14	12	1	0	5	1594	89
540	2022.05.22	6	0	0	9	1245	89
541	2022.06.04	5	0	0	3	1236	85
542	2022.06.18	13	0	0	11	1160	92
543	2022.05.11	6	0	0	10	1499	80
544	2022.08.09	11	0	1	5	1365	87
545	2022.07.14	8	0	1	8	2027	80
546	2022.08.27	13	0	0	2	1559	91
547	2022.06.05	1	0	1	8	1025	90
548	2022.06.10	2	1	0	4	1719	93
549	2022.08.19	10	0	0	6	1897	88
550	2022.05.15	5	0	0	2	1334	85
551	2022.06.30	3	0	0	5	1027	88
552	2022.06.23	13	0	0	7	1410	95
553	2022.08.27	14	0	0	5	1407	90
554	2022.07.24	14	0	0	6	994	88
555	2022.06.19	3	0	1	3	846	91
556	2022.07.22	6	0	1	5	1705	92
557	2022.05.29	9	0	1	5	1162	98
558	2022.07.27	12	0	0	6	1252	91
559	2022.08.27	3	0	0	4	877	96
560	2022.07.20	6	1	0	9	1495	87
561	2022.06.18	7	0	0	4	1058	85
562	2022.06.20	5	0	0	3	1351	89
563	2022.07.29	6	0	0	7	1552	92
564	2022.08.19	8	0	0	5	1607	81
565	2022.07.14	5	0	0	1	1730	90
566	2022.05.19	7	0	0	2	1373	85
567	2022.08.26	13	0	0	4	1538	94
568	2022.07.30	13	1	0	7	1401	83
569	2022.07.24	3	0	1	3	892	95
570	2022.06.22	14	0	0	6	1308	92
571	2022.05.08	9	0	0	2	1855	97
572	2022.08.29	2	0	0	4	1376	86
573	2022.06.30	6	1	0	9	1740	89
574	2022.05.12	10	1	0	5	2025	87
575	2022.08.26	2	0	0	4	1746	90
576	2022.06.16	8	0	0	7	1363	90
577	2022.06.15	6	0	0	5	1158	92
578	2022.05.11	5	0	0	3	1431	88
579	2022.06.01	5	0	0	2	1414	91
580	2022.06.22	1	0	0	5	1160	93
581	2022.08.23	5	0	0	1	1158	88
582	2022.08.20	10	1	0	10	2105	89
583	2022.06.02	2	0	0	0	1651	91
584	2022.07.18	8	0	1	11	1626	87
585	2022.06.08	10	0	0	9	2058	89
586	2022.07.18	1	0	0	3	1230	94
587	2022.06.11	13	0	0	4	1170	91
588	2022.06.08	12	0	0	10	1750	88
589	2022.08.19	3	0	0	4	964	94
590	2022.06.02	10	0	0	6	1413	89
591	2022.07.29	11	0	0	3	1363	87
592	2022.06.21	7	1	0	3	1320	84
593	2022.07.19	12	0	0	9	1922	88
594	2022.06.01	6	0	0	12	1732	94
595	2022.07.26	14	0	0	7	1316	91
596	2022.07.24	12	0	0	3	1414	90
597	2022.08.04	5	1	0	3	1697	89
598	2022.06.01	2	0	0	0	1558	87
599	2022.07.25	12	0	0	5	1337	91
600	2022.06.20	14	0	0	7	1041	92
601	2022.08.21	12	0	0	3	1273	91
602	2022.05.21	9	0	0	2	942	93
603	2022.08.25	12	0	0	9	1254	92
604	2022.08.24	8	0	0	5	1738	90
605	2022.05.22	5	1	0	3	956	88
606	2022.05.24	3	0	0	0	1054	91
607	2022.06.30	9	0	0	4	1288	96
608	2022.06.20	8	0	0	10	1161	87
609	2022.06.19	1	0	0	7	1172	95
610	2022.07.24	6	0	0	10	1614	94
611	2022.07.04	5	0	0	1	1726	85
612	2022.08.05	14	0	0	6	1343	90
613	2022.06.09	13	0	0	9	1460	90
614	2022.05.23	2	0	0	1	1745	89
615	2022.06.29	7	1	0	2	1076	90
616	2022.06.10	5	0	1	3	1162	86
617	2022.08.14	12	0	0	3	1845	87
618	2022.07.15	9	0	0	1	1235	93
619	2022.07.28	8	0	0	8	1794	86
620	2022.07.31	8	1	0	7	1753	90
621	2022.06.14	2	0	0	4	1387	91
622	2022.07.24	13	0	1	9	1494	95
623	2022.06.30	12	0	0	9	1674	91
624	2022.07.07	5	0	0	1	1598	88
625	2022.08.13	6	0	0	5	1485	87
626	2022.08.22	5	0	0	3	964	90
627	2022.08.21	11	0	0	4	1475	89
628	2022.05.25	7	1	1	4	1365	88
629	2022.07.15	3	0	0	1	1073	92
630	2022.05.15	2	0	0	0	1573	93
631	2022.05.21	7	0	1	3	1321	86
632	2022.08.29	4	0	1	2	1636	87
633	2022.08.01	12	0	0	9	1460	92
634	2022.07.25	2	0	0	2	1731	90
635	2022.08.01	7	0	0	2	1289	85
